model,ds_ns,speed_kmh,period_slots,omega_per_frame,horizon,pred_nmse_db,zoh_nmse_db,filt_nmse_db
cdl_c,300.0,30,80,24.451525256102954,2,2.494329300333915,3.252818313039059,-18.178524109384913
cdl_c,300.0,30,80,24.451525256102954,4,3.0296714789049335,2.8865457390493523,-18.178524109384913
cdl_c,300.0,30,80,24.451525256102954,8,2.78887978396241,2.229513967624131,-18.178524109384913
cdl_c,300.0,30,80,24.451525256102954,16,2.8768932952101034,2.263085524690298,-18.178524109384913
cdl_c,300.0,30,80,24.451525256102954,32,2.762980883085566,3.2400325437731743,-18.178524109384913
cdl_c,300.0,60,10,6.1128813140257385,1,-2.1578640200091557,1.211328645018823,-19.26231069572266
cdl_c,300.0,60,10,6.1128813140257385,2,1.810198960761994,2.4531099122656945,-19.26231069572266
cdl_c,300.0,60,10,6.1128813140257385,4,2.994515017561134,3.1337614413674277,-19.26231069572266
cdl_c,300.0,60,10,6.1128813140257385,8,3.134044699439799,3.407496418466783,-19.26231069572266
cdl_c,300.0,60,10,6.1128813140257385,16,2.9854225052825214,3.7172238815451735,-19.26231069572266
cdl_c,300.0,60,10,6.1128813140257385,32,2.8786773756813973,2.5692806070855245,-19.26231069572266
cdl_c,300.0,60,40,24.451525256102954,1,1.166570529945388,2.39661315935243,-18.443482047228017
cdl_c,300.0,60,40,24.451525256102954,2,2.4203280889266305,3.1467153233732748,-18.443482047228017
cdl_c,300.0,60,40,24.451525256102954,4,2.6653799616208524,3.321829506489985,-18.443482047228017
cdl_c,300.0,60,40,24.451525256102954,8,2.744055547976536,1.9328589544982098,-18.443482047228017
cdl_c,300.0,60,40,24.451525256102954,16,2.8607912994020577,2.749924447591922,-18.443482047228017
cdl_c,300.0,60,40,24.451525256102954,32,2.85541805304026,3.430516668803467,-18.443482047228017
cdl_c,300.0,60,80,48.90305051220591,1,2.2514630194615792,3.3566389278095468,-18.043665372784304
cdl_c,300.0,60,80,48.90305051220591,2,2.542157305805135,2.9019606450367346,-18.043665372784304
cdl_c,300.0,60,80,48.90305051220591,4,2.793030153845886,1.9218731426319724,-18.043665372784304
cdl_c,300.0,60,80,48.90305051220591,8,2.9137490099630674,2.3203148226219685,-18.043665372784304
